ProdID,UPC,Category,Brand,Model,Model Description,Size,Color,MSRP,MAP,Each Cost,Manufacturer Prod,COO,Discontinued,UOM,Weight,Length,Width,Height,ORMD,Product Description,Replacement,Substitute,Recently Updated,
BT0018,708752089051,Trailer Part,Surly,23378,Trailer Hitch Assembly,,,8.00,8.00,4.50,,TW,No,EA,0.05,3.00,2.75,0.50,No,Surly Grub Screw for Hitch Mount Nut,,,,
BT0019,708752068704,Trailer Part,Surly,26302,Hitch Mount Nuts,,,35.00,35.00,20.00,BT0019,TW,No,EA,0.28,3.00,1.00,1.00,No,Surly Bill and Ted Hitch Mount Nuts for 10x1mm Solid Axles or Troll / Ogre ,,,,
BT0020,708752089068,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,310.00,310.00,195.00,,TW,No,EA,13.00,32.00,17.00,6.00,No,Surly Big Dummy Cargo Kit,,,,
BT0021,708752089075,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,70.00,70.00,40.00,,TW,No,EA,1.60,28.00,9.00,2.00,No,Surly Big Dummy Deck: Each,,,,
BT0022,708752089082,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,70.00,70.00,35.00,,TW,No,EA,2.80,36.00,2.00,17.00,No,Surly Big Dummy Rails: Pair,,,,
BT0025,708752128217,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,33.50,33.50,20.00,,TW,No,PAA,0.20,5.50,4.25,1.75,No,Surly Big Dummy Rail collars Pair,,,,
BT0026A,,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,70.00,70.00,40.00,NULL,TW,No,,0.50,3.00,2.00,0.05,No,Surly Dummy Deck Asphault Grey *NO Packaging,,,,
BT0028,708752125957,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,275.00,275.00,137.50,,TW,No,EA,7.30,16.25,10.25,7.75,No,Surly Big Dummy Bag: Pair,,,,
BT0032,708752099975,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,5.00,5.00,2.50,,TW,No,EA,0.10,2.00,2.00,0.50,No,Surly Big Dummy Bag Closure Buckle (female),,,,
BT0033,708752099982,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,5.00,5.00,2.50,,TW,No,EA,0.10,4.00,3.00,1.00,No,Surly Big Dummy Bag Lower Tensioning Strap,,,,
BT0034,708752099999,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,5.00,5.00,2.50,,TW,No,EA,0.10,1.00,1.00,0.50,No,Surly Big Dummy Bag Snap Hook Strap Assembly,,,,
BT0035,708752100008,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,5.00,5.00,2.50,,TW,No,EA,0.05,3.75,4.00,0.25,No,Surly Big Dummy Bag D-Ring and Velcro Strap,,,,
BT0036,708752100015,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,11.00,11.00,5.50,,TW,No,EA,0.05,10.50,4.00,0.10,No,Surly Big Dummy Bag BrakeCaliper Wear Patch,,,,
BT0037,708752100022,Cargo Bike Accessory,Surly,29840,Big Dummy Accessories,,,5.50,5.50,2.75,,TW,No,EA,0.10,2.00,2.00,2.00,No,Surly Big Dummy Bag Mitten Hook/Shock Cord,,,,
BT9998,708752099517,Trailer Part,Surly,23378,Trailer Hitch Assembly,,,299.00,299.00,203.00,,TW,No,EA,8.60,31.00,14.00,6.00,No,Surly Big Dummy Hitch Assembly with Boom,,,,
BT9999,708752089112,Trailer Part,Surly,23378,Trailer Hitch Assembly,,,190.00,190.00,115.00,,TW,No,EA,3.60,31.00,7.00,6.00,No,Surly Big Dummy Hitch Assembly NO Boom,,,,
CH8896,708752033924,Beverage Essentials,Surly,24694,Singleator Scrap Tool,,,8.00,8.00,4.00,CH8896,TW,No,EA,0.05,5.25,4.25,0.25,No,Surly Singleator 18mm Wrench/Bottle Opener,,,,
CH8897,708752029583,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,14.00,14.00,7.00,,TW,No,SET,0.08,4.00,4.00,0.50,No,Surly Singleator Upgrade 11t pulley set includes Plate and Bolt,,,,
CH8898,708752029279,Single-Speed / Dingle-Speed ,Surly,6631,Singleator,,Silver,50.00,50.00,25.00,CH8898,TW,No,EA,0.37,7.25,5.00,2.00,No,Surly Singleator Silver,,,2018-05-01,
CH8899,708752029286,Single-Speed / Dingle-Speed ,Surly,6631,Singleator,,Black,50.00,50.00,25.00,TP91 SAND BLAST BLACK,TW,No,EA,0.35,7.50,4.00,2.75,No,Surly Singleator Black,,,2018-05-02,
CH9989,708752170100,Axle/Chain Tensioner,Surly,K5879,Snuggnut,,,30.00,30.00,15.00,,TW,No,EA,0.05,5.00,4.00,0.75,No,Surly Snuggnut,,,,
CH9990,708752099685,Axle/Chain Tensioner,Surly,K1468,Hurdy Gurdy,,,30.00,30.00,15.00,CH9990,TW,No,EA,0.15,5.25,4.50,0.50,No,Surly Hurdy Gurdy,,,,
CH9991,708752105492,Axle/Chain Tensioner,Surly,K1468,Hurdy Gurdy,,,30.00,30.00,15.00,CH9991,TW,No,EA,0.13,5.50,4.50,0.50,No,Surly Hurdy Gurdy Silver,,,,
CH9992,708752037137,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,2.00,2.00,1.00,TP98 E2 E-SHAPED CLIP CP ,TW,No,EA,0.01,0.25,0.25,0.01,No,Surly Tuggnut/Snuggnut Retaining Clip,,,,
CH9993,708752037144,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,6.00,6.00,3.00,,TW,No,EA,0.01,1.00,0.50,0.50,No,Surly Tuggnut/Snuggnut Slider,,,,
CH9994,708752037151,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,6.00,6.00,3.00,,TW,No,EA,0.01,1.75,0.25,0.25,No,Surly Tuggnut/Snuggnut Stainless Steel Thumb Screw ,,,,
CH9996,708752107410,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,3.00,3.00,1.50,TP98-2 SILVER,TW,No,EA,0.01,3.00,2.50,0.25,No,Surly Tuggnut/Hurdy/Snuggnut QR Adaptor Washer ,,,,
CH9997,708752114654,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,6.00,6.00,3.00,,TW,No,EA,0.01,1.00,0.50,0.50,No,Surly Hurdy Gurdy Stainless Steel Replacement Thumbscrew,,,,
CH9998,708752114647,Chain Tensioner Part,Surly,24632,Tensioner Parts,,,6.00,6.00,3.00,,TW,No,EA,0.01,2.25,0.25,0.25,No,Surly Hurdy Gurdy Slider Silver,,,,
CH9999,708752029200,Axle/Chain Tensioner,Surly,2884,Tuggnut,,Silver,30.00,30.00,15.00,TP98 SILVER,TW,No,EA,0.18,5.50,4.50,0.50,No,Surly Tuggnut Tensioner,,,,
CL0001,708752034860,Patch,Surly,MSURLY17,Surly Patch,,,12.00,12.00,6.00,163X44 SURLY IRON-ON,US,No,EA,0.01,6.75,1.50,0.13,No,Surly Patch 6.5 Iron-On,,CL0002,,
CL0002,708752034877,Patch,Surly,MSURLY17,Surly Patch,,,17.00,17.00,8.50,254X65 SURLY IRON-ON,US,No,EA,0.02,10.00,2.75,0.08,No,Surly Mega-Patch 10 Iron-On,,,,
CL0003,708752039827,Patch,Surly,MSURLY17,Surly Patch,,,6.00,6.00,3.00,102 X 27 SURLY IRON-ON,US,No,EA,0.01,4.00,1.25,0.25,No,Surly Patch 4,,,,
CL0040,708752026636,Baseball and Trucker Cap,Surly,24653,Logo Baseball Cap,Small/Medium,Black,25.00,25.00,15.00,04-000982,DO,No,EA,0.15,6.75,6.50,3.50,No,Surly Logo Baseball Cap: Black/White SM/MD,,,,
CL0041,708752026643,Baseball and Trucker Cap,Surly,24653,Logo Baseball Cap,Large/XL,Black,25.00,25.00,15.00,04-000982,DO,No,EA,0.15,6.75,6.50,3.50,No,Surly Logo Baseball Cap: Black/White LG/XL,,,,
CL0074,657993026687,Cycling Cap,Surly,21216,Wool Cycling Cap,Small/Medium,Black,35.00,35.00,21.00,,US,No,EA,0.07,9.50,5.25,0.75,No,Surly Wool Cycling Cap: Black SM/MD,,,,
CL0075,657993026694,Cycling Cap,Surly,21216,Wool Cycling Cap,Large/XL,Black,35.00,35.00,21.00,,US,No,EA,0.10,7.00,4.75,1.75,No,Surly Wool Cycling Cap: Black LG/XL,,,,
CL0107,708752133921,Patch,Surly,MSURLY17,Surly Patch,,,4.00,4.00,2.00,04-000684,CN,No,EA,0.01,2.75,2.25,0.25,No,Surly Steel Patch: Black/White,,,,
CL0109,708752133907,Patch,Surly,MSURLY17,Surly Patch,,,4.00,4.00,2.00,04-000703,CN,No,EA,0.01,2.75,2.25,0.25,No,Surly Split Season Patch: Purple/Black,,,,
CL0110,708752133891,Patch,Surly,MSURLY17,Surly Patch,,,4.00,4.00,2.00,04-000704,CN,No,EA,0.01,2.75,2.25,0.25,No,Surly Snow Monkey Patch: Black/Gray,,,,
CL0387,708752164314,T-Shirt,Surly,MSURLY74,Split Season T-Shirt,Large,Blue,28.00,28.00,17.00,,PE,No,EA,0.36,7.75,5.00,1.00,No,Surly Split Season Men's T-Shirt: Blue LG,,,,
CL0388,708752164307,T-Shirt,Surly,MSURLY74,Split Season T-Shirt,X-Large,Blue,28.00,28.00,17.00,,PE,No,EA,0.32,8.00,5.75,1.00,No,Surly Split Season Men's T-Shirt: Blue XL,,,,
CL0390,708752164284,T-Shirt,Surly,MSURLY74,Split Season T-Shirt,Small,Blue,28.00,28.00,17.00,,PE,No,EA,0.24,7.75,5.00,0.75,No,Surly Split Season Women's T-Shirt: Blue SM,,,,
CL0391,708752164277,T-Shirt,Surly,MSURLY74,Split Season T-Shirt,Medium,Blue,28.00,28.00,17.00,,PE,No,EA,0.26,8.75,5.00,0.75,No,Surly Split Season Women's T-Shirt: Blue MD,,,,
CL0392,708752164260,T-Shirt,Surly,MSURLY74,Split Season T-Shirt,Large,Blue,28.00,28.00,17.00,,PE,No,EA,0.26,7.75,5.00,1.00,No,Surly Split Season Women's T-Shirt: Blue LG,,,,
CL0393,708752164253,T-Shirt,Surly,MSURLY74,Split Season T-Shirt,X-Large,Blue,28.00,28.00,17.00,,PE,No,EA,0.30,7.75,5.00,0.75,No,Surly Split Season Women's T-Shirt: Blue XL,,,,
CL0782,708752126091,T-Shirt,Surly,MSURLY66,Logo LS T-Shirt,Medium,Black/White,28.00,28.00,17.00,3601-PCC-316,NI,No,EA,0.38,10.00,9.00,0.50,No,Surly Logo Long Sleeve T-Shirt: Black/White MD,,,,
CL0783,708752126084,T-Shirt,Surly,MSURLY66,Logo LS T-Shirt,Large,Black/White,28.00,28.00,17.00,3601-PCC-316,NI,No,EA,0.35,10.00,8.50,0.50,No,Surly Logo Long Sleeve T-Shirt: Black/White LG,,,,
CL0784,708752126077,T-Shirt,Surly,MSURLY66,Logo LS T-Shirt,X-Large,Black/White,28.00,28.00,17.00,3601-PCC-316,NI,No,EA,0.50,8.50,0.75,10.25,No,Surly Logo Long Sleeve T-Shirt: Black/White XL,,,,
CL0785,708752126060,T-Shirt,Surly,MSURLY66,Logo LS T-Shirt,2X-Large,Black/White,28.00,28.00,17.00,3601-PCC-316,NI,No,EA,0.50,10.25,8.50,0.75,No,Surly Logo Long Sleeve T-Shirt: Black/White 2XL,,,,
CL0880,708752219663,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,Small,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.30,9.50,8.50,1.00,No,Surly Chaos Men's T-Shirt: Black SM,,,,
CL0881,708752219687,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,Medium,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.33,10.25,8.75,0.25,No,Surly Chaos Men's T-Shirt: Black MD,,,,
CL0882,708752219700,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,Large,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.40,9.50,8.50,1.00,No,Surly Chaos Men's T-Shirt: Black LG,,,,
CL0883,708752219724,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,X-Large,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.40,10.00,9.00,1.00,No,Surly Chaos Men's T-Shirt: Black XL,,,,
CL0884,708752219748,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,2X-Large,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.45,11.00,8.50,1.00,No,Surly Chaos Men's T-Shirt: Black 2XL,,,,
CL0885,708752219762,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,Small,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.25,9.50,8.50,1.00,No,Surly Chaos Women's T-Shirt: Black SM,,,,
CL0886,708752219786,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,Medium,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.25,9.50,8.50,1.00,No,Surly Chaos Women's T-Shirt: Black MD,,,,
CL0887,708752219809,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,Large,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.30,9.50,8.50,1.00,No,Surly Chaos Women's T-Shirt: Black LG,,,,
CL0888,708752219823,T-Shirt,Surly,MSURLY95,Chaos T-Shirt,X-Large,Black,28.00,28.00,17.00,04-000902,PE,No,EA,0.30,9.50,8.50,1.00,No,Surly Chaos Women's T-Shirt: Black XL,,,,
CL1355,708752149281,Sweatshirt/Hoodie,Surly,MSURLY03,Merino Hoodie,Medium,Black,180.00,180.00,105.00,04-000778,CN,No,EA,1.60,13.25,10.00,1.25,No,Surly Merino Wool Women's Hoodie: Black MD,,,,
CL3335,708752160941,Sweatshirt/Hoodie,Surly,MSURLY03,Merino Hoodie,Small,Black,180.00,180.00,105.00,04-000777,CN,No,EA,1.65,13.75,12.50,1.50,No,Surly Merino Wool Men's Hoodie: Black SM,,,,
CL3336,708752160934,Sweatshirt/Hoodie,Surly,MSURLY03,Merino Hoodie,Medium,Black,180.00,180.00,105.00,04-000777,CN,No,EA,1.70,14.25,12.75,1.25,No,Surly Merino Wool Men's Hoodie: Black MD,,,,
CL3340,708752213104,Neck Protection,Surly,MSURLY84,Merino Neck Gaiter,One Size,Green/Tan,35.00,35.00,20.00,04-000782,CN,No,EA,0.20,11.50,9.25,0.25,No,Surly Merino Neck Gaiter: Green/Tan One Size,,,,
CL3489,708752116030,Patch,Surly,MSURLY17,Surly Patch,,,4.00,4.00,2.00,PCC-481,CN,No,EA,0.01,2.50,2.50,0.25,No,Surly Stripes Patch,,,,
CL3531,708752118386,T-Shirt,Surly,MSURLY33,Ride Steel T-Shirt,Small,Green,28.00,28.00,17.00,04-000773,PE,No,EA,0.32,8.75,6.00,1.25,No,Surly Ride Steel Men's T-Shirt: Green SM,,,,
CL3532,708752118379,T-Shirt,Surly,MSURLY33,Ride Steel T-Shirt,Medium,Green,28.00,28.00,17.00,04-000773,PE,No,EA,0.34,8.25,5.75,1.75,No,Surly Ride Steel Men's T-Shirt: Green MD,,,,
CL3536,708752118331,T-Shirt,Surly,MSURLY33,Ride Steel T-Shirt,Small,Green,28.00,28.00,17.00,04-000773,PE,No,EA,0.24,11.00,9.25,0.50,No,Surly Ride Steel Women's T-Shirt: Green SM,,,,
CL3538,708752118317,T-Shirt,Surly,MSURLY33,Ride Steel T-Shirt,Large,Green,28.00,28.00,17.00,04-000773,PE,No,EA,0.26,11.75,9.00,0.50,No,Surly Ride Steel Women's T-Shirt: Green LG,,,,
CL3540,708752118294,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Small,Black/Black,28.00,28.00,17.00,PCC-354-SM,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Logo T-Shirt: Black/Black SM,,,,
CL3541,708752118287,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Medium,Black/Black,28.00,28.00,17.00,PCC-354-MD,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Logo T-Shirt: Black/Black MD,,,,
CL3542,708752118270,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Large,Black/Black,28.00,28.00,17.00,PCC-354-LG,PE,No,EA,0.36,7.50,5.75,2.25,No,Surly Logo T-Shirt: Black/Black LG,,,,
CL3543,708752118263,T-Shirt,Surly,MSURLY788,Logo T-Shirt,X-Large,Black/Black,28.00,28.00,17.00,PCC-354-XL,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Logo T-Shirt: Black/Black XL,,,,
CL3544,708752118256,T-Shirt,Surly,MSURLY788,Logo T-Shirt,2X-Large,Black/Black,28.00,28.00,17.00,PCC-354-2XL,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Logo T-Shirt: Black/Black 2XL,,,,
CL3545,708752118249,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Small,Black/Black,28.00,28.00,17.00,PCC-355-SM-W,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Logo Women's T-Shirt: Black/Black SM,,,,
CL3546,708752118232,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Medium,Black/Black,28.00,28.00,17.00,PCC-355-MDW,PE,No,EA,0.25,9.50,7.75,0.75,No,Surly Logo Women's T-Shirt: Black/Black MD,,,,
CL3547,708752118225,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Large,Black/Black,28.00,28.00,17.00,PCC-355-LG-W,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Logo Women's T-Shirt: Black/Black LG,,,,
CL3548,708752118218,T-Shirt,Surly,MSURLY788,Logo T-Shirt,X-Large,Black/Black,28.00,28.00,17.00,PCC-355-XL-W,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Logo Women's T-Shirt: Black/Black XL,,,,
CL3558,708752118119,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Small,Black/White,28.00,28.00,17.00,PCC360-SM,PE,No,EA,0.30,9.75,7.25,1.00,No,Surly Logo T-Shirt: Black/White SM,,,,
CL3559,708752118102,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Medium,Black/White,28.00,28.00,17.00,PCC360-MD,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Logo T-Shirt: Black/White MD,,,,
CL3560,708752118096,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Large,Black/White,28.00,28.00,17.00,PCC360-LG,PE,No,EA,0.38,8.50,5.25,1.75,No,Surly Logo T-Shirt: Black/White LG,,,,
CL3561,708752118089,T-Shirt,Surly,MSURLY788,Logo T-Shirt,X-Large,Black/White,28.00,28.00,17.00,PCC360-XL,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Logo T-Shirt: Black/White XL,,,,
CL3562,708752118072,T-Shirt,Surly,MSURLY788,Logo T-Shirt,2X-Large,Black/White,28.00,28.00,17.00,PCC360-2XL,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Logo T-Shirt: Black/White 2XL,,,,
CL3563,708752118065,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Small,Black/White,28.00,28.00,17.00,PCC-358-SM-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Women's Logo T-Shirt: Black/White SM,,,,
CL3564,708752118058,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Medium,Black/White,28.00,28.00,17.00,PCC-358-MDW,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Women's Logo T-Shirt: Black/White MD,,,,
CL3565,708752118041,T-Shirt,Surly,MSURLY788,Logo T-Shirt,Large,Black/White,28.00,28.00,17.00,PCC-358-LG-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Women's Logo T-Shirt: Black/White LG,,,,
CL3566,708752118034,T-Shirt,Surly,MSURLY788,Logo T-Shirt,X-Large,Black/White,28.00,28.00,17.00,PCC-358-XL-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Women's Logo T-Shirt: Black/White XL,,,,
CL3585,708752117846,T-Shirt,Surly,MSURLY78,Long Haul Trucker Joe T-Shirt,Small,Black,28.00,28.00,17.00,PCC-566-SM,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Long Haul Trucker Joe T-Shirt: Black SM,,,,
CL3586,708752117839,T-Shirt,Surly,MSURLY78,Long Haul Trucker Joe T-Shirt,Medium,Black,28.00,28.00,17.00,PCC-566-MD,PE,No,EA,0.35,10.00,8.50,0.50,No,Surly Long Haul Trucker Joe T-Shirt: Black MD,,,,
CL3599,708752117709,T-Shirt,Surly,MSURLY34,Ogre T-Shirt,Small,Green,28.00,28.00,17.00,PCC-567-SM-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Ogre Women's T-Shirt: Green SM,,,,
CL3602,708752117679,T-Shirt,Surly,MSURLY34,Ogre T-Shirt,X-Large,Green,28.00,28.00,17.00,PCC-567-XL-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Ogre Women's T-Shirt: Green XL,,,,
CL3617,708752117525,T-Shirt,Surly,MSURLY24,Troll T-Shirt,Small,Black,28.00,28.00,17.00,PCC-404-SM-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Troll Women's T-Shirt: Black SM,,,,
CL3619,708752117501,T-Shirt,Surly,MSURLY24,Troll T-Shirt,Large,Black,28.00,28.00,17.00,PCC-404-LG-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Troll Women's T-Shirt: Black LG,,,,
CL3620,708752117495,T-Shirt,Surly,MSURLY24,Troll T-Shirt,X-Large,Black,28.00,28.00,17.00,PCC-404-XL-W,PE,No,EA,0.10,12.00,10.50,1.00,No,Surly Troll Women's T-Shirt: Black XL,,,,
CL3621,708752117488,T-Shirt,Surly,MSURLY37,Snow Monkey T-Shirt,Small,Blue,28.00,28.00,17.00,04-,PE,No,EA,0.30,7.50,5.00,1.50,No,Surly Snow Monkey Men's T-Shirt: Blue SM,,,,
CL3622,708752117471,T-Shirt,Surly,MSURLY37,Snow Monkey T-Shirt,Medium,Blue,28.00,28.00,17.00,04-,PE,No,EA,0.32,9.50,7.25,0.50,No,Surly Snow Monkey Men's T-Shirt: Blue MD,,,,
CL3623,708752117464,T-Shirt,Surly,MSURLY37,Snow Monkey T-Shirt,Large,Blue,28.00,28.00,17.00,04-,PE,No,EA,0.36,9.50,7.25,0.50,No,Surly Snow Monkey Men's T-Shirt: Blue LG,,,,
CL3624,708752117457,T-Shirt,Surly,MSURLY37,Snow Monkey T-Shirt,X-Large,Blue,28.00,28.00,17.00,04-,PE,No,EA,0.38,9.50,7.25,0.50,No,Surly Snow Monkey Men's T-Shirt: Blue XL,,,,
CL3626,708752117433,T-Shirt,Surly,MSURLY37,Snow Monkey T-Shirt,Small,Blue,28.00,28.00,17.00,04-,PE,No,EA,0.24,9.50,7.25,0.50,No,Surly Snow Monkey Women's T-Shirt: Blue SM,,,,
CL3627,708752117426,T-Shirt,Surly,MSURLY37,Snow Monkey T-Shirt,Medium,Blue,28.00,28.00,17.00,04-,PE,No,EA,0.26,9.50,7.25,0.50,No,Surly Snow Monkey Women's T-Shirt: Blue MD,,,,
CL3761,708752219861,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,Medium,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.35,10.25,8.00,1.00,No,Surly Bike Lover Men's T-Shirt: Black MD,,,,
CL3762,708752219885,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,Large,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.35,10.50,8.00,1.25,No,Surly Bike Lover Men's T-Shirt: Black LG,,,,
CL3763,708752219908,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,X-Large,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.40,11.25,9.00,1.00,No,Surly Bike Lover Men's T-Shirt: Black XL,,,,
CL3764,708752219922,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,2X-Large,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.45,11.25,8.75,1.25,No,Surly Bike Lover Men's T-Shirt: Black 2XL,,,,
CL3765,708752219946,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,Small,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.25,8.25,7.00,1.00,No,Surly Bike Lover Women's T-Shirt: Black SM,,,,
CL3766,708752219960,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,Medium,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.25,8.75,7.75,0.75,No,Surly Bike Lover Women's T-Shirt: Black MD,,,,
CL3767,708752219984,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,Large,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.30,8.75,8.50,1.00,No,Surly Bike Lover Women's T-Shirt: Black LG,,,,
CL3768,708752220003,T-Shirt,Surly,MSURLY94,Bike Lover T-Shirt,X-Large,Black,28.00,28.00,17.00,04-000903,PE,No,EA,0.30,9.50,9.00,1.25,No,Surly Bike Lover Women's T-Shirt: Black XL,,,,
CL3769,708752227484,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,Small,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.30,10.75,8.25,0.50,No,Surly Unfair Advantage Men's T-Shirt: Black SM,,,,
CL3770,708752227507,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,Medium,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.35,10.75,8.25,0.50,No,Surly Unfair Advantage Men's T-Shirt: Black MD,,,,
CL3771,708752227521,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,Large,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.35,10.75,8.25,0.50,No,Surly Unfair Advantage Men's T-Shirt: Black LG,,,,
CL3772,708752227545,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,X-Large,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.40,10.75,8.25,0.50,No,Surly Unfair Advantage Men's T-Shirt: Black XL,,,,
CL3773,708752227569,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,2X-Large,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.45,10.75,8.25,0.50,No,Surly Unfair Advantage Men's T-Shirt: Black 2XL,,,,
CL3774,708752227583,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,Small,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.25,10.75,8.25,0.50,No,Surly Unfair Advantage Women's T-Shirt: Black SM,,,,
CL3775,708752227606,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,Medium,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.25,10.75,8.25,0.50,No,Surly Unfair Advantage Women's T-Shirt: Black MD,,,,
CL3776,708752227620,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,Large,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.25,10.75,8.25,0.50,No,Surly Unfair Advantage Women's T-Shirt: Black LG,,,,
CL3777,708752227644,T-Shirt,Surly,MSURLY99,Unfair Advantage T-Shirt,X-Large,Black,28.00,28.00,17.00,04-001019,PE,No,EA,0.30,10.75,8.25,0.50,No,Surly Unfair Advantage Women's T-Shirt: Black XL,,,,
CL4212,708752203853,T-Shirt,Surly,MSURLY83,Merino Raglan T-Shirt,Small,Tan/Black,65.00,65.00,37.50,04-000784,CN,No,EA,0.35,13.25,10.25,0.25,No,Surly Raglan Shirt: Tan/Black SM,,,,
CL4213,708752203877,T-Shirt,Surly,MSURLY83,Merino Raglan T-Shirt,Medium,Tan/Black,65.00,65.00,37.50,04-000784,CN,No,EA,0.40,13.25,10.25,0.25,No,Surly Raglan Shirt: Tan/Black MD,,,,
CL4214,708752203891,T-Shirt,Surly,MSURLY83,Merino Raglan T-Shirt,Large,Tan/Black,65.00,65.00,37.50,04-000784,CN,No,EA,0.40,14.75,11.00,0.25,No,Surly Raglan Shirt: Tan/Black LG,,,,
